name,id,gigabytes
qwen3-vl:32b-instruct-q4_K_M,c9a60b1a1a13,20
qwen3-vl:30b-a3b-instruct-q4_K_M,c871fc73fabc,19
glm-4.7-flash:q4_K_M,d1a8a26252f1,19
deepseek-r1:32b-qwen-distill-q4_K_M,edba8017331d,19
cogito:32b-v1-preview-qwen-q4_K_M,0b4aab772f57,19
qwen3.5:27b-q4_K_M,7653528ba5cb,17
ministral-3:14b-instruct-2512-q8_0,e189ca022343,15
deepseek-r1:14b-qwen-distill-q8_0,b3c61716272d,15
cogito:14b-v1-preview-qwen-q8_0,c02d5fe4e547,15
gpt-oss:20b,17052f91a42e,13
ministral-3:8b-instruct-2512-q8_0,51a27715a326,9.9
qwen3-vl:8b-instruct-q8_0,eff3eb825b32,9.8
ministral-3:14b-instruct-2512-q4_K_M,4760c35aeb9d,9.1
deepseek-r1:14b-qwen-distill-q4_K_M,c333b7232bdb,9.0
cogito:14b-v1-preview-qwen-q4_K_M,d0cac86a2347,9.0
deepseek-r1:8b-0528-qwen3-q8_0,cade62fd2850,8.9
deepseek-r1:8b-llama-distill-q8_0,744d1ee47c3d,8.5
cogito:8b-v1-preview-llama-q8_0,dcad7d783f2d,8.5
deepseek-r1:7b-qwen-distill-q8_0,1b1708b22a5f,8.1
qwen3-vl:8b-instruct-q4_K_M,0533d74300e4,6.1
ministral-3:8b-instruct-2512-q4_K_M,1922accd5827,6.0
deepseek-r1:8b-0528-qwen3-q4_K_M,6995872bfe4c,5.2
qwen3-vl:4b-instruct-q8_0,3c4e71051a81,5.1
deepseek-r1:8b-llama-distill-q4_K_M,9e54bf95550c,4.9
cogito:8b-v1-preview-llama-q4_K_M,75b508ddece1,4.9
deepseek-r1:7b-qwen-distill-q4_K_M,755ced02ce7b,4.7
ministral-3:3b-instruct-2512-q8_0,c269e5748d11,4.5
cogito:3b-v1-preview-llama-q8_0,8c7d8ed14b2f,3.8
qwen3-vl:4b-instruct-q4_K_M,ee4b975b58c1,3.3
ministral-3:3b-instruct-2512-q4_K_M,f04aa1c738f6,3.0
qwen3-vl:2b-instruct-q8_0,9674b2259d72,2.6
cogito:3b-v1-preview-llama-q4_K_M,bd144357d717,2.2
qwen3-vl:2b-instruct-q4_K_M,ea422f1e7365,1.9
deepseek-r1:1.5b-qwen-distill-q8_0,21c9dbd320fa,1.9
deepseek-r1:1.5b-qwen-distill-q4_K_M,e0979632db5a,1.1
